KYTREASNOX,TIDXFAM,TTERMTYPE,TTERMLBL,MCALDT,TMEWRETD
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,6/28/1968,0.005799282
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,7/31/1968,0.00570555
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,8/30/1968,0.003828929
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,9/30/1968,0.004391404
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,10/31/1968,0.003444819
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,11/29/1968,0.003632506
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,12/31/1968,0.002902534
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,1/31/1969,0.006334311
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,2/28/1969,0.004859782
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,3/28/1969,0.005391591
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,4/30/1969,0.005227818
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,5/29/1969,0.004442419
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,6/30/1969,0.004604576
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,7/31/1969,0.006870132
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,8/29/1969,0.005676189
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,9/30/1969,0.005111249
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,10/31/1969,0.00749767
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,11/28/1969,0.003932811
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,12/31/1969,0.006114051
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,1/30/1970,0.00802697
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,2/27/1970,0.010704813
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,3/31/1970,0.006316633
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,4/30/1970,0.004571133
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,5/29/1970,0.006033283
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,6/30/1970,0.007392768
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,7/31/1970,0.008882141
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,8/31/1970,0.005819725
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,9/30/1970,0.006551545
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,10/30/1970,0.006005294
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,11/30/1970,0.008626537
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,12/31/1970,0.0051222
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,1/29/1971,0.003379846
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,2/26/1971,0.006194478
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,3/31/1971,0.003779653
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,4/30/1971,0.000692924
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,5/28/1971,0.002374069
